Station_ID,Name,Address,Latitude,Longitude,Regular_Price,Plus_Price,Premium_Price,Scrape_Date
in-n-out---marathon,In N Out - Marathon,"El Paso, TX (Socorro_Horizon_Border)",31.6619098,-106.314599,4.5,,,6/1/2026
speedway,Speedway,"El Paso, TX (Socorro_Horizon_Border)",31.7750579,-106.3920526,,,,6/2/2026
chevron,Chevron,"El Paso, TX (Socorro_Horizon_Border)",31.704319,-106.298926,4.4,,,6/2/2026
circle-k,Circle K,"El Paso, TX (Socorro_Horizon_Border)",31.7052302,-106.3003847,3.82,,,6/2/2026
circle-k-|-gas-station,Circle K | Gas Station,"El Paso, TX (Socorro_Horizon_Border)",31.7591,-106.4064644,,,,6/2/2026
valero,Valero,"El Paso, TX (Socorro_Horizon_Border)",31.6780314,-106.3335587,3.88,,,6/2/2026
dk-gas-station,DK Gas Station,"El Paso, TX (Upper_Valley)",31.7788665,-106.4690964,4.0,,,6/2/2026
alon-gas-station,ALON Gas Station,"El Paso, TX (Socorro_Horizon_Border)",31.7886808,-106.4493156,3.95,,,6/2/2026
chevron-howdy's,Chevron Howdy's,"El Paso, TX (Northeast_Dyer)",31.7770087,-106.4846444,4.2,,,6/2/2026
flyers,Flyers,"El Paso, TX (Zaragosa_Lower_Valley)",31.7489212,-106.3409759,,,,6/2/2026
in-n-out-gas-station,In-N-Out Gas Station,"El Paso, TX (Upper_Valley)",31.7670812,-106.479743,,,,6/2/2026
costco-gas-station,Costco Gas Station,"El Paso, TX (Socorro_Horizon_Border)",31.780961,-106.4255094,,,,6/2/2026
windstar-gas-station,Windstar Gas Station,"El Paso, TX (Downtown_Central)",31.7548313,-106.5091717,,,,6/2/2026
brio,Brio,"El Paso, TX (East_Side_Cielo_Vista)",31.7681631,-106.4413088,,,,6/2/2026
parking,parking,"El Paso, TX (Downtown_Central)",31.7618778,-106.5030461,,,,6/2/2026
marathon,Marathon,"El Paso, TX (Downtown_Central)",31.7670812,-106.479743,,,,6/2/2026
gazpro-5-de-mayo,Gazpro 5 de Mayo,"El Paso, TX (Downtown_Central)",31.7440663,-106.4914757,,,,6/2/2026
oxxo-gas,Oxxo Gas,"El Paso, TX (Downtown_Central)",31.760001,-106.5270014,,,,6/2/2026
payan's-fuel-center,Payan's Fuel Center,"El Paso, TX (Downtown_Central)",31.760001,-106.5270014,4.1,,,6/2/2026
klemme-roadway,Klemme Roadway,"El Paso, TX (Socorro_Horizon_Border)",31.7833158,-106.4250496,,,,6/2/2026
